SKU,Producto,#,Tarea,Duracion_dias,Depende_de,Tipo_dep,Inicio_plan,Fin_plan,Estatus,Inicio_real,Fin_real,Dur_real_dias,Desvio_dias
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),1,Segunda tanda de muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-05-14,2026-06-27,44,63
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-06-27,19,93
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,2026-06-29,,,
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-06-27,2026-07-07,10,66
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-07,2026-07-10,3,54
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-07-10,2026-08-10,31,50
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-08-10,2026-08-17,7,47
6TRAO26787NEG,PASSPORT HOLDER with magnet — BLACK (6TRAO26787NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-09-01,,61
