SKU,Producto,#,Tarea,Duracion_dias,Depende_de,Tipo_dep,Inicio_plan,Fin_plan,Estatus,Inicio_real,Fin_real,Dur_real_dias,Desvio_dias
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,1,Muestras finalizadas en China,30,,,2026-06-17,2026-07-17,En curso,2026-06-18,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,2,Courier a Mexico,10,1,,2026-07-17,2026-07-27,Pendiente,2026-07-20,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-27,2026-08-01,Pendiente,2026-08-15,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-27,2026-08-08,Pendiente,2026-07-30,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,5,Confirmación de muestras y packaging,4,4,FI,2026-08-08,2026-08-12,Pendiente,2026-08-20,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,6,Master Cloé (modelo & upc),7,5,FI,2026-08-12,2026-08-19,Pendiente,2026-08-27,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,7,Producción de producto,60,6,FI,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,8,Producción de packaging,30,6,FI,2026-08-19,2026-09-18,Pendiente,2026-09-01,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,9,Muestras de producción a México (fotografía),45,7,II,2026-08-19,2026-10-03,Pendiente,2026-10-01,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,10,Gestión proveedores Cloé,60,7,II,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,11,Inspección,7,,,2026-10-18,2026-10-25,Pendiente,2026-11-01,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-25,2026-11-09,Pendiente,2026-11-07,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,13,Tránsito marítimo,35,12,FI,2026-11-09,2026-12-14,Pendiente,2026-11-22,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,14,Aduana México,10,13,FI,2026-12-14,2026-12-24,Pendiente,2026-12-27,,,
TOTE BAG FOLDABLES,TOTE BAG FOLDABLE - Azul y negro,15,Lanzamiento,1,14,FI,2026-12-24,2026-12-25,Pendiente,2027-03-08,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,1,Muestras finalizadas en China,30,,,2026-06-17,2026-07-17,En curso,2026-06-18,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,2,Courier a Mexico,10,1,,2026-07-17,2026-07-27,Pendiente,2026-07-20,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-27,2026-08-01,Pendiente,2026-08-15,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-27,2026-08-08,Pendiente,2026-07-30,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,5,Confirmación de muestras y packaging,4,4,FI,2026-08-08,2026-08-12,Pendiente,2026-08-20,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,6,Master Cloé (modelo & upc),7,5,FI,2026-08-12,2026-08-19,Pendiente,2026-08-27,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,7,Producción de producto,60,6,FI,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,8,Producción de packaging,30,6,FI,2026-08-19,2026-09-18,Pendiente,2026-09-01,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,9,Muestras de producción a México (fotografía),45,7,II,2026-08-19,2026-10-03,Pendiente,2026-10-01,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,10,Gestión proveedores Cloé,60,7,II,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,11,Inspección,7,,,2026-10-18,2026-10-25,Pendiente,2026-11-01,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-25,2026-11-09,Pendiente,2026-11-07,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,13,Tránsito marítimo,35,12,FI,2026-11-09,2026-12-14,Pendiente,2026-11-22,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,14,Aduana México,10,13,FI,2026-12-14,2026-12-24,Pendiente,2026-12-27,,,
PORTA PASAPORTES,PORTA PASAPORTES - Azul y negro,15,Lanzamiento,1,14,FI,2026-12-24,2026-12-25,Pendiente,2027-03-08,,,
NECK PILLOW,NECK PILLOW - Azul y negro,1,Muestras finalizadas en China,30,,,2026-06-17,2026-07-17,En curso,2026-06-18,,,
NECK PILLOW,NECK PILLOW - Azul y negro,2,Courier a Mexico,10,1,,2026-07-17,2026-07-27,Pendiente,2026-07-20,,,
NECK PILLOW,NECK PILLOW - Azul y negro,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-27,2026-08-01,Pendiente,2026-08-15,,,
NECK PILLOW,NECK PILLOW - Azul y negro,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-27,2026-08-08,Pendiente,2026-07-30,,,
NECK PILLOW,NECK PILLOW - Azul y negro,5,Confirmación de muestras y packaging,4,4,FI,2026-08-08,2026-08-12,Pendiente,2026-08-20,,,
NECK PILLOW,NECK PILLOW - Azul y negro,6,Master Cloé (modelo & upc),7,5,FI,2026-08-12,2026-08-19,Pendiente,2026-08-27,,,
NECK PILLOW,NECK PILLOW - Azul y negro,7,Producción de producto,60,6,FI,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
NECK PILLOW,NECK PILLOW - Azul y negro,8,Producción de packaging,30,6,FI,2026-08-19,2026-09-18,Pendiente,2026-09-01,,,
NECK PILLOW,NECK PILLOW - Azul y negro,9,Muestras de producción a México (fotografía),45,7,II,2026-08-19,2026-10-03,Pendiente,2026-10-01,,,
NECK PILLOW,NECK PILLOW - Azul y negro,10,Gestión proveedores Cloé,60,7,II,2026-08-19,2026-10-18,Pendiente,2026-09-01,,,
NECK PILLOW,NECK PILLOW - Azul y negro,11,Inspección,7,,,2026-10-18,2026-10-25,Pendiente,2026-11-01,,,
NECK PILLOW,NECK PILLOW - Azul y negro,12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-10-25,2026-11-09,Pendiente,2026-11-07,,,
NECK PILLOW,NECK PILLOW - Azul y negro,13,Tránsito marítimo,35,12,FI,2026-11-09,2026-12-14,Pendiente,2026-11-22,,,
NECK PILLOW,NECK PILLOW - Azul y negro,14,Aduana México,10,13,FI,2026-12-14,2026-12-24,Pendiente,2026-12-27,,,
NECK PILLOW,NECK PILLOW - Azul y negro,15,Lanzamiento,1,14,FI,2026-12-24,2026-12-25,Pendiente,2027-03-08,,,
ID TAG,Identificador de equipaje,1,Muestras finalizadas en China,30,,,2026-06-17,2026-07-17,En curso,2026-06-18,,,
ID TAG,Identificador de equipaje,2,Courier a Mexico,10,1,,2026-07-17,2026-07-27,Pendiente,2026-07-20,,,
ID TAG,Identificador de equipaje,3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-07-27,2026-08-01,Pendiente,2026-08-15,,,
ID TAG,Identificador de equipaje,4,Reunión con Comité y entrega de muestras,12,2,FI,2026-07-27,2026-08-08,Pendiente,2026-07-30,,,
